1	9	1
1	10	1
1	44	1
1	35	3
1	2	4
1	36	4
1	2	7
1	36	7
1	9	8
1	10	8
1	27	8
1	44	8
1	27	9
1	2	10
1	36	10
1	2	12
1	36	12
1	2	13
1	29	13
1	36	13
1	44	14
1	31	15
1	44	15
1	28	17
1	2	19
1	36	19
1	2	29
1	31	29
1	44	29
1	29	30
1	31	30
1	44	30
1	5	35
1	10	38
1	44	38
1	44	40
1	29	41
1	31	41
1	44	41
1	27	47
1	44	48
1	29	51
1	31	51
1	44	51
1	35	52
1	2	54
1	36	54
1	2	58
1	29	58
1	36	58
1	2	60
1	31	60
1	44	60
1	35	63
1	44	66
1	2	69
1	36	69
1	44	70
1	44	74
1	9	75
1	44	75
1	2	78
1	36	78
1	44	79
1	2	84
1	36	84
1	2	87
1	31	87
1	44	87
1	29	88
1	31	88
1	44	88
1	2	90
1	31	90
1	44	90
1	44	92
1	29	93
1	31	93
1	44	93
1	28	97
1	2	99
1	31	99
1	44	99
1	2	101
1	36	101
1	5	102
1	2	103
1	31	103
1	44	103
1	29	106
1	31	106
1	44	106
1	35	107
1	44	109
1	27	110
1	2	111
1	31	111
1	44	111
1	2	112
1	36	112
1	35	113
1	35	115
1	2	120
1	36	120
1	2	123
1	29	123
1	36	123
1	44	126
1	44	131
1	2	133
1	36	133
1	2	134
1	29	134
1	36	134
2	28	17
2	27	50
2	28	97
3	37	2
3	25	3
3	22	14
3	37	14
3	28	17
3	42	34
3	49	34
3	42	36
3	49	36
3	27	37
3	37	39
3	37	40
3	42	42
3	49	42
3	37	43
3	27	47
3	37	62
3	25	63
3	27	63
3	37	66
3	22	74
3	37	74
3	42	77
3	49	77
3	37	79
3	37	83
3	42	85
3	49	85
3	42	86
3	49	86
3	37	89
3	28	97
3	37	98
3	25	107
3	42	119
3	49	119
3	37	121
3	42	122
3	49	122
3	22	126
3	37	126
3	37	131
4	25	4
4	25	7
4	25	10
4	25	12
4	25	13
4	29	16
4	28	17
4	25	19
4	27	47
4	29	49
4	25	54
4	25	58
4	29	68
4	25	69
4	29	72
4	25	78
4	25	84
4	29	94
4	28	97
4	25	101
4	27	101
4	27	110
4	27	112
4	29	118
4	25	120
4	25	123
4	25	133
4	25	134
4	29	135
5	8	1
5	14	5
5	25	5
5	8	8
5	25	11
5	2	15
5	25	16
5	28	17
5	25	18
5	25	25
5	2	29
5	2	30
5	8	30
5	25	31
5	27	31
5	25	32
5	27	33
5	24	36
5	8	38
5	2	41
5	8	41
5	25	44
5	25	45
5	27	47
5	25	49
5	2	51
5	8	51
5	2	60
5	25	65
5	25	68
5	25	72
5	25	73
5	8	75
5	25	76
5	25	82
5	2	87
5	2	88
5	8	88
5	2	90
5	2	92
5	2	93
5	8	93
5	25	94
5	28	97
5	2	99
5	27	100
5	2	103
5	2	106
5	8	106
5	25	108
5	27	110
5	2	111
5	25	118
5	25	128
5	27	129
5	25	135
6	43	5
6	28	17
6	27	37
6	27	47
6	43	59
6	27	71
6	44	87
6	27	91
6	28	97
6	27	127
7	25	7
7	27	10
7	25	12
7	22	14
7	28	17
7	25	19
7	27	47
7	25	54
7	25	69
7	22	74
7	25	84
7	28	97
7	25	101
7	27	101
7	27	110
7	25	120
7	22	126
7	27	133
8	10	1
8	44	1
8	35	3
8	2	4
8	36	4
8	2	7
8	36	7
8	9	8
8	10	8
8	44	8
8	27	9
8	2	10
8	36	10
8	2	12
8	36	12
8	2	13
8	29	13
8	36	13
8	31	15
8	44	15
